datetime,open,high,low,close,volume
2018-07-01 00:00:00,453.3,455.87,444.85,451.43,34160.78132274
2018-07-02 00:00:00,451.43,481.99,442.79,476.34,73537.36076481
2018-07-03 00:00:00,476.34,486.76,459.11,461.75,70832.75445941
2018-07-04 00:00:00,461.75,482.01,451.35,466.9,58200.73415567
2018-07-05 00:00:00,466.9,477.99,457.85,467.25,55189.22578687
2018-07-06 00:00:00,467.24,474.99,451.68,469.3,42719.95857763
2018-07-07 00:00:00,469.3,486.69,462.0,484.48,32601.96576381
2018-07-08 00:00:00,484.49,494.74,479.31,486.08,39468.25855777
2018-07-09 00:00:00,486.09,488.0,469.0,471.6,45759.94503975
2018-07-10 00:00:00,471.6,473.0,427.88,432.59,100665.53249183
2018-07-11 00:00:00,432.71,448.54,425.34,446.25,70923.10221158
2018-07-12 00:00:00,446.25,447.17,418.23,431.46,52128.61867084
2018-07-13 00:00:00,431.38,442.31,425.1,432.8,51453.54754722
2018-07-14 00:00:00,432.8,440.0,428.13,434.13,24290.88765523
2018-07-15 00:00:00,434.14,454.21,431.29,449.41,36806.36252991
2018-07-16 00:00:00,449.42,479.92,444.05,478.18,65262.41185478
2018-07-17 00:00:00,478.19,510.79,466.1,499.01,96530.99254641
2018-07-18 00:00:00,499.01,515.88,468.85,478.81,98509.85475243
2018-07-19 00:00:00,478.92,483.88,462.07,468.39,52575.33303783
2018-07-20 00:00:00,468.38,468.73,441.0,448.21,63247.13934367
2018-07-21 00:00:00,448.21,468.85,442.0,461.5,33370.03300077
2018-07-22 00:00:00,461.5,471.74,455.0,456.9,30453.61703928
2018-07-23 00:00:00,456.9,469.3,445.66,449.0,60608.22750801
2018-07-24 00:00:00,449.0,483.92,447.99,478.79,87160.56699552
2018-07-25 00:00:00,478.79,484.43,463.55,470.81,64253.17438848
2018-07-26 00:00:00,470.81,483.88,460.0,461.42,47802.50322557
2018-07-27 00:00:00,461.43,473.33,454.25,469.3,43939.28025599
2018-07-28 00:00:00,469.3,471.01,461.25,468.12,19179.64218383
2018-07-29 00:00:00,468.12,471.37,462.0,466.01,20117.80509384
2018-07-30 00:00:00,466.01,469.0,446.0,456.46,51162.28711265
2018-07-31 00:00:00,456.47,457.3,427.33,432.35,59440.91065082
2018-08-01 00:00:00,432.36,435.48,407.78,419.6,76974.23009648
2018-08-02 00:00:00,419.59,424.61,407.29,410.71,43453.78187481
2018-08-03 00:00:00,410.71,420.27,395.0,417.8,95200.1162607
2018-08-04 00:00:00,417.8,419.16,401.0,407.0,37316.36430412
2018-08-05 00:00:00,407.0,413.33,400.5,408.83,30585.81027505
2018-08-06 00:00:00,408.96,413.17,401.0,404.99,35553.84200703
2018-08-07 00:00:00,404.99,410.0,369.1,378.08,79598.40595612
2018-08-08 00:00:00,378.07,380.77,347.18,355.7,185480.83073366
2018-08-09 00:00:00,355.69,371.09,351.0,363.99,93660.54696981
2018-08-10 00:00:00,363.99,366.46,326.0,330.99,102786.11054812
2018-08-11 00:00:00,331.0,332.0,305.14,318.02,138086.69928099
2018-08-12 00:00:00,318.32,328.12,313.29,318.15,59713.51417242
2018-08-13 00:00:00,318.16,322.27,281.41,284.11,222117.52492092
2018-08-14 00:00:00,284.11,285.0,250.28,279.4,359941.01144007
2018-08-15 00:00:00,279.39,305.4,275.93,281.21,268255.89152066
2018-08-16 00:00:00,281.21,298.89,277.84,286.67,119548.61877195
2018-08-17 00:00:00,286.67,319.0,285.42,317.54,170451.92209544
2018-08-18 00:00:00,317.55,322.16,283.1,296.61,105672.19642623
2018-08-19 00:00:00,296.59,307.65,289.33,300.03,63555.26729245
2018-08-20 00:00:00,300.03,304.0,268.02,270.76,115416.72792886
2018-08-21 00:00:00,270.76,286.42,269.13,281.49,73300.85753571
2018-08-22 00:00:00,281.5,298.99,259.11,270.47,160772.15113457
2018-08-23 00:00:00,270.48,280.39,268.6,275.87,96644.34487666
2018-08-24 00:00:00,275.87,283.38,270.27,281.35,75748.64847814
2018-08-25 00:00:00,281.35,282.95,276.99,277.97,32482.25807385
2018-08-26 00:00:00,277.97,277.97,270.0,274.25,41263.99454601
2018-08-27 00:00:00,274.26,288.64,271.32,287.99,66277.9291864
2018-08-28 00:00:00,288.11,297.64,282.85,295.39,82043.13012686
2018-08-29 00:00:00,295.4,297.32,284.11,289.0,59249.050789
2018-08-30 00:00:00,288.99,290.99,272.13,284.52,82418.20650024
2018-08-31 00:00:00,284.52,284.7,276.66,281.94,50547.47759252
2018-09-01 00:00:00,281.95,302.2,281.94,294.64,60377.24722536
2018-09-02 00:00:00,294.65,298.72,288.42,295.06,45223.02715521
2018-09-03 00:00:00,295.06,296.38,285.76,288.6,57319.50761057
2018-09-04 00:00:00,288.6,292.11,282.1,285.43,74773.19149528
2018-09-05 00:00:00,285.43,287.95,225.53,227.56,233332.99898428
2018-09-06 00:00:00,227.56,233.6,211.0,229.03,283857.17980889
2018-09-07 00:00:00,229.35,234.23,214.0,215.21,132144.11290942
2018-09-08 00:00:00,215.2,220.0,190.0,197.0,194116.40458204
2018-09-09 00:00:00,197.0,208.5,185.39,195.91,155044.12347013
2018-09-10 00:00:00,195.92,202.7,186.59,196.94,137188.19392798
2018-09-11 00:00:00,196.94,199.25,175.5,185.15,179482.6357956
2018-09-12 00:00:00,185.15,185.15,167.0,182.79,253131.74321164
2018-09-13 00:00:00,182.92,215.0,182.91,211.39,291413.55188749
2018-09-14 00:00:00,211.15,224.3,202.5,210.0,223363.98301937
2018-09-15 00:00:00,210.0,227.55,208.26,221.69,116977.23283788
2018-09-16 00:00:00,221.7,223.43,208.01,220.19,98138.95587542
2018-09-17 00:00:00,220.19,224.9,192.2,195.97,231151.5274723
2018-09-18 00:00:00,196.09,214.87,194.05,208.5,146600.61495684
2018-09-19 00:00:00,208.22,214.68,197.34,209.81,169675.52807699
2018-09-20 00:00:00,209.81,227.34,206.64,224.41,177248.2184546
2018-09-21 00:00:00,224.41,252.0,221.0,247.76,275556.14523401
2018-09-22 00:00:00,247.76,255.0,232.67,240.71,125026.55905007
2018-09-23 00:00:00,240.71,249.79,237.1,244.35,76058.21331054
2018-09-24 00:00:00,244.35,245.79,225.15,228.01,126087.70355033
2018-09-25 00:00:00,228.01,228.01,203.24,219.19,239214.88967415
2018-09-26 00:00:00,219.19,222.43,207.23,214.15,154213.73310933
2018-09-27 00:00:00,214.15,233.5,210.01,229.0,175712.24138176
2018-09-28 00:00:00,229.0,234.59,215.0,220.67,139498.22319499
2018-09-29 00:00:00,220.67,235.35,213.7,231.01,108156.43724946
2018-09-30 00:00:00,231.01,238.69,225.5,232.27,92112.81192603
2018-10-01 00:00:00,232.27,234.92,223.45,230.4,85964.99535152
2018-10-02 00:00:00,230.4,231.08,221.44,224.85,76658.97876023
2018-10-03 00:00:00,224.85,224.9,214.0,219.01,95124.62230285
2018-10-04 00:00:00,219.1,225.66,218.31,221.0,74275.51465712
2018-10-05 00:00:00,221.0,230.34,218.0,226.89,71553.04039729
2018-10-06 00:00:00,226.88,227.51,222.32,223.85,32635.73942303
2018-10-07 00:00:00,223.85,225.95,220.0,224.82,31120.90366916
